dataset,role,path,exists,bytes,sha256,shape,dtype,mean,std,min,max
NEW,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F030_R2.txt,True,4378321,6c311b77edc702410fae4328434e361b9d41f5fd974ed9e7d064d8f662cd6a28,,,,,,
OLD,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F040_R1.txt,True,4375109,5aa4bac4dfd25e077fc0dadfe7ac98c4a4b6dcc7d4e00e810a92e2a8ea7cf669,,,,,,
NEW,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F040_R1.txt,True,4375109,5aa4bac4dfd25e077fc0dadfe7ac98c4a4b6dcc7d4e00e810a92e2a8ea7cf669,,,,,,
OLD,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F040_R2.txt,True,4365838,4354808e4614f5e7a221e7e25d4e750104d048b91b5fc925d010eae2b4b1f8ac,,,,,,
NEW,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F040_R2.txt,True,4365838,4354808e4614f5e7a221e7e25d4e750104d048b91b5fc925d010eae2b4b1f8ac,,,,,,
OLD,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F050_R1.txt,True,4377518,d663d09c4cb9b92c5a9dba4599e0ad7b3a978187b730bf79998c4e61ae7fad06,,,,,,
NEW,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F050_R1.txt,True,4377518,d663d09c4cb9b92c5a9dba4599e0ad7b3a978187b730bf79998c4e61ae7fad06,,,,,,
OLD,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F050_R2.txt,True,4371313,a4cf091be5aa787052dbe77c5cca628048c518636e4cddddad972b70eceb2676,,,,,,
NEW,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F050_R2.txt,True,4371313,a4cf091be5aa787052dbe77c5cca628048c518636e4cddddad972b70eceb2676,,,,,,
OLD,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F060_R1.txt,True,4379927,e5ffca035c8199d68a413af0ca9dcd31255f62605a5b81ec6b498f9ac6ba1c8b,,,,,,
NEW,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F060_R1.txt,True,4379927,e5ffca035c8199d68a413af0ca9dcd31255f62605a5b81ec6b498f9ac6ba1c8b,,,,,,
OLD,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F060_R2.txt,True,4374233,4e2bbeedab35b509d586f97be1ac0c214c2e1e3ba4a4fd31b452175f741799e4,,,,,,
NEW,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F060_R2.txt,True,4374233,4e2bbeedab35b509d586f97be1ac0c214c2e1e3ba4a4fd31b452175f741799e4,,,,,,
OLD,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F070_R1.txt,True,4378248,882ed986d88fe3d5861ce0465f952d5411b429a80bade8103359cc71361305b4,,,,,,
NEW,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F070_R1.txt,True,4378248,882ed986d88fe3d5861ce0465f952d5411b429a80bade8103359cc71361305b4,,,,,,
OLD,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F070_R2.txt,True,4367444,2914c7de1fb236b1071b17d059d3c9d2f4530131dc68872743bea85ac15cca8b,,,,,,
NEW,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F070_R2.txt,True,4367444,2914c7de1fb236b1071b17d059d3c9d2f4530131dc68872743bea85ac15cca8b,,,,,,
OLD,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F080_R1.txt,True,4374233,2d7df7dc5803979c73ceb00d095f1c5975d9916598eea5a9565361ed037c42c2,,,,,,
NEW,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F080_R1.txt,True,4374233,2d7df7dc5803979c73ceb00d095f1c5975d9916598eea5a9565361ed037c42c2,,,,,,
OLD,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F080_R2.txt,True,4379708,a21674a6bc1e5877107634eadbea845656a77de2da29ff945a7fb8caedae88fe,,,,,,
NEW,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F080_R2.txt,True,4379708,a21674a6bc1e5877107634eadbea845656a77de2da29ff945a7fb8caedae88fe,,,,,,
OLD,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F090_R1.txt,True,4380000,0e040a6794082b2225ab39b4d3a49b52531118915629e21a3ce4a0221ee0a256,,,,,,
NEW,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F090_R1.txt,True,4380000,0e040a6794082b2225ab39b4d3a49b52531118915629e21a3ce4a0221ee0a256,,,,,,
OLD,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F090_R2.txt,True,4375182,bf2378305194f6ef5daa4510e597a73ebd60913dd5ddb050d066f316248c948c,,,,,,
NEW,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F090_R2.txt,True,4375182,bf2378305194f6ef5daa4510e597a73ebd60913dd5ddb050d066f316248c948c,,,,,,
OLD,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F100_R1.txt,True,4374963,40d8257a3049918405e8c71785f0a6a5337c9797ba4d5c78b9787ab5ed45e4f0,,,,,,
NEW,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F100_R1.txt,True,4374963,40d8257a3049918405e8c71785f0a6a5337c9797ba4d5c78b9787ab5ed45e4f0,,,,,,
OLD,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F100_R2.txt,True,4379927,035b940d117f0854d023d574b9ef7a9c37f545bd3b28042e3104088e36c34089,,,,,,
NEW,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F100_R2.txt,True,4379927,035b940d117f0854d023d574b9ef7a9c37f545bd3b28042e3104088e36c34089,,,,,,
OLD,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GEa_F010_R1.txt,True,4208742,9f61b5436d8a9ba6bd6c61e07df8f9845c00a4b0c317b8376aa759788e6f48e9,,,,,,
NEW,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GEa_F010_R1.txt,True,4208742,9f61b5436d8a9ba6bd6c61e07df8f9845c00a4b0c317b8376aa759788e6f48e9,,,,,,
OLD,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GEa_F010_R2.txt,True,4378102,926445bb39bdef53d713f4eeb3189581ad9b7d316178b2530599853b419f8c6d,,,,,,
NEW,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GEa_F010_R2.txt,True,4378102,926445bb39bdef53d713f4eeb3189581ad9b7d316178b2530599853b419f8c6d,,,,,,
OLD,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GEa_F020_R1.txt,True,4206479,bd1087bfd596f253eb13667227acea068c7fc7f0e961259e94a3a65d438ef9dc,,,,,,
NEW,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GEa_F020_R1.txt,True,4206479,bd1087bfd596f253eb13667227acea068c7fc7f0e961259e94a3a65d438ef9dc,,,,,,
OLD,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GEa_F020_R2.txt,True,4371313,9e5091c84cb28b0eea366721fd1c39b2f01ca8e15cdfb06c04ffcc2a09a76503,,,,,,
NEW,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GEa_F020_R2.txt,True,4371313,9e5091c84cb28b0eea366721fd1c39b2f01ca8e15cdfb06c04ffcc2a09a76503,,,,,,
OLD,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GEa_F030_R1.txt,True,4215969,8264e71bad86a5ea48319ae27248f7b3618ac57b292eaaf60c77c7c70256abe0,,,,,,
NEW,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GEa_F030_R1.txt,True,4215969,8264e71bad86a5ea48319ae27248f7b3618ac57b292eaaf60c77c7c70256abe0,,,,,,
OLD,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GEa_F030_R2.txt,True,4377810,e49adb53d24305921f022223642681b256d043d248c50f38e88d3ceec238f46e,,,,,,
NEW,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GEa_F030_R2.txt,True,4377810,e49adb53d24305921f022223642681b256d043d248c50f38e88d3ceec238f46e,,,,,,
OLD,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GEa_F040_R1.txt,True,4212684,a9366663e11c02efad99d673ffb715c65cd8e67320871cfa204b2a81bb4f4fb3,,,,,,
NEW,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GEa_F040_R1.txt,True,4212684,a9366663e11c02efad99d673ffb715c65cd8e67320871cfa204b2a81bb4f4fb3,,,,,,
OLD,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GEa_F040_R2.txt,True,4380000,035566b37176de75b5799c26b9044b58f62f3df39cc46b157c6ba8d60d5a58f0,,,,,,
NEW,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GEa_F040_R2.txt,True,4380000,035566b37176de75b5799c26b9044b58f62f3df39cc46b157c6ba8d60d5a58f0,,,,,,
OLD,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GEa_F050_R1.txt,True,4221809,9d529fe563b4a2420fbd316d4454d001c213862f99bcc45bc10d9c55a21715d7,,,,,,
NEW,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GEa_F050_R1.txt,True,4221809,9d529fe563b4a2420fbd316d4454d001c213862f99bcc45bc10d9c55a21715d7,,,,,,
OLD,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GEa_F050_R2.txt,True,4377445,1f2f8afb6cb1b5fd2b2335c5838437acd4ea0b631bdfb6e14e4ed66d462a55c2,,,,,,
NEW,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GEa_F050_R2.txt,True,4377445,1f2f8afb6cb1b5fd2b2335c5838437acd4ea0b631bdfb6e14e4ed66d462a55c2,,,,,,
OLD,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GEa_F060_R1.txt,True,4219254,1c2660684dc91453bb5c6ef813279c3bdefad8b383f28fcf87af39a2bb8e04ac,,,,,,
NEW,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GEa_F060_R1.txt,True,4219254,1c2660684dc91453bb5c6ef813279c3bdefad8b383f28fcf87af39a2bb8e04ac,,,,,,
OLD,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GEa_F060_R2.txt,True,4378978,6806e61ea083e6423fee85b3a2551a68b50dec4b453d3d85761cb8084b213aa7,,,,,,
NEW,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GEa_F060_R2.txt,True,4378978,6806e61ea083e6423fee85b3a2551a68b50dec4b453d3d85761cb8084b213aa7,,,,,,
