dataset,split,class_id,gas,concentration,repeat,phase,n,window_start_min,window_start_mean,window_start_max
OLD,test,0,Ethanol,87.5,1,late,17,60.0,106.76470588235294,160.0
OLD,test,0,Ethanol,87.5,2,late,17,60.0,107.94117647058823,160.0
OLD,test,0,Ethanol,100.0,1,late,20,60.0,110.75,160.0
OLD,test,0,Ethanol,100.0,2,late,14,65.0,113.57142857142857,160.0
OLD,test,0,Ethanol,112.5,1,late,18,60.0,105.83333333333333,160.0
OLD,test,0,Ethanol,112.5,2,late,16,65.0,110.3125,160.0
OLD,test,0,Ethanol,125.0,1,late,17,60.0,111.47058823529412,160.0
OLD,test,0,Ethanol,125.0,2,late,17,65.0,111.47058823529412,160.0
OLD,test,1,CO,25.0,1,late,19,60.0,109.73684210526316,160.0
OLD,test,1,CO,25.0,2,late,15,70.0,121.66666666666667,160.0
OLD,test,1,CO,50.0,1,late,17,60.0,116.17647058823529,160.0
OLD,test,1,CO,50.0,2,late,17,65.0,112.3529411764706,160.0
OLD,test,1,CO,75.0,1,late,15,60.0,115.0,160.0
OLD,test,1,CO,75.0,2,late,19,60.0,108.94736842105263,160.0
OLD,test,1,CO,100.0,1,late,16,70.0,108.4375,150.0
OLD,test,1,CO,100.0,2,late,18,60.0,105.27777777777777,155.0
OLD,test,1,CO,125.0,1,late,17,60.0,109.70588235294117,160.0
OLD,test,1,CO,125.0,2,late,17,60.0,109.11764705882354,160.0
OLD,test,1,CO,150.0,1,late,17,60.0,110.29411764705883,160.0
OLD,test,1,CO,150.0,2,late,17,60.0,105.29411764705883,160.0
OLD,test,1,CO,175.0,1,late,16,60.0,109.375,150.0
OLD,test,1,CO,175.0,2,late,18,60.0,108.33333333333333,160.0
OLD,test,1,CO,200.0,1,late,18,60.0,108.05555555555556,155.0
OLD,test,1,CO,200.0,2,late,16,60.0,108.4375,160.0
OLD,test,1,CO,225.0,1,late,17,60.0,114.11764705882354,160.0
OLD,test,1,CO,225.0,2,late,17,65.0,115.58823529411765,160.0
OLD,test,1,CO,250.0,1,late,17,60.0,103.82352941176471,160.0
OLD,test,1,CO,250.0,2,late,17,60.0,108.23529411764706,155.0
OLD,test,2,Ethylene,12.5,1,late,16,60.0,106.5625,160.0
OLD,test,2,Ethylene,12.5,2,late,18,60.0,110.27777777777777,155.0
OLD,test,2,Ethylene,25.0,1,late,15,60.0,113.33333333333333,160.0
OLD,test,2,Ethylene,25.0,2,late,19,60.0,107.36842105263158,160.0
OLD,test,2,Ethylene,37.5,1,late,17,60.0,103.52941176470588,160.0
OLD,test,2,Ethylene,37.5,2,late,17,65.0,113.82352941176471,160.0
OLD,test,2,Ethylene,50.0,1,late,18,60.0,105.27777777777777,155.0
OLD,test,2,Ethylene,50.0,2,late,16,60.0,112.1875,160.0
OLD,test,2,Ethylene,62.5,1,late,17,60.0,113.23529411764706,160.0
OLD,test,2,Ethylene,62.5,2,late,17,60.0,111.47058823529412,160.0
OLD,test,2,Ethylene,75.0,1,late,17,60.0,104.41176470588235,150.0
OLD,test,2,Ethylene,75.0,2,late,17,60.0,110.88235294117646,160.0
OLD,test,2,Ethylene,87.5,1,late,17,65.0,115.58823529411765,160.0
OLD,test,2,Ethylene,87.5,2,late,17,60.0,110.88235294117646,160.0
OLD,test,2,Ethylene,100.0,1,late,16,65.0,108.4375,155.0
OLD,test,2,Ethylene,100.0,2,late,18,60.0,105.55555555555556,160.0
OLD,test,2,Ethylene,112.5,1,late,17,60.0,104.70588235294117,155.0
OLD,test,2,Ethylene,112.5,2,late,17,60.0,111.47058823529412,160.0
OLD,test,2,Ethylene,125.0,1,late,19,60.0,110.0,160.0
OLD,test,2,Ethylene,125.0,2,late,15,60.0,105.0,155.0
OLD,test,3,Methane,25.0,1,late,16,60.0,109.375,155.0
OLD,test,3,Methane,25.0,2,late,18,60.0,104.72222222222223,160.0
OLD,test,3,Methane,50.0,1,late,16,60.0,107.1875,155.0
OLD,test,3,Methane,50.0,2,late,18,60.0,116.66666666666667,160.0
OLD,test,3,Methane,75.0,1,late,14,60.0,112.14285714285714,160.0
OLD,test,3,Methane,75.0,2,late,20,60.0,107.75,160.0
OLD,test,3,Methane,100.0,1,late,17,65.0,113.52941176470588,160.0
OLD,test,3,Methane,100.0,2,late,17,60.0,104.11764705882354,155.0
OLD,test,3,Methane,125.0,1,late,17,60.0,110.58823529411765,160.0
OLD,test,3,Methane,125.0,2,late,17,60.0,112.3529411764706,160.0
OLD,test,3,Methane,150.0,1,late,16,70.0,110.625,160.0
OLD,test,3,Methane,150.0,2,late,18,65.0,112.5,160.0
OLD,test,3,Methane,175.0,1,late,19,60.0,110.78947368421052,160.0
OLD,test,3,Methane,175.0,2,late,15,75.0,115.66666666666667,160.0
OLD,test,3,Methane,200.0,1,late,18,60.0,110.55555555555556,160.0
OLD,test,3,Methane,200.0,2,late,16,60.0,101.25,155.0
OLD,test,3,Methane,225.0,1,late,17,60.0,108.23529411764706,160.0
OLD,test,3,Methane,225.0,2,late,17,65.0,114.11764705882354,160.0
OLD,test,3,Methane,250.0,1,late,18,65.0,111.66666666666667,160.0
OLD,test,3,Methane,250.0,2,late,16,60.0,110.9375,160.0
NEW,calibration,0,Ethanol,12.5,1,late,3,70.0,93.33333333333333,135.0
NEW,calibration,0,Ethanol,12.5,2,late,5,75.0,120.0,150.0
NEW,calibration,0,Ethanol,25.0,1,late,2,95.0,97.5,100.0
NEW,calibration,0,Ethanol,25.0,2,late,6,65.0,95.0,125.0
NEW,calibration,0,Ethanol,37.5,1,late,4,65.0,111.25,135.0
NEW,calibration,0,Ethanol,37.5,2,late,4,70.0,110.0,160.0
NEW,calibration,0,Ethanol,50.0,1,late,4,65.0,98.75,135.0
NEW,calibration,0,Ethanol,50.0,2,late,4,80.0,111.25,145.0
NEW,calibration,0,Ethanol,62.5,1,late,5,70.0,106.0,155.0
NEW,calibration,0,Ethanol,62.5,2,late,3,90.0,130.0,160.0
NEW,calibration,0,Ethanol,75.0,1,late,3,60.0,120.0,160.0
NEW,calibration,0,Ethanol,75.0,2,late,5,85.0,120.0,155.0
NEW,calibration,0,Ethanol,87.5,1,late,4,65.0,105.0,125.0
NEW,calibration,0,Ethanol,87.5,2,late,4,100.0,113.75,140.0
NEW,calibration,0,Ethanol,100.0,1,late,4,110.0,142.5,160.0
NEW,calibration,0,Ethanol,100.0,2,late,4,110.0,135.0,155.0
NEW,calibration,0,Ethanol,112.5,1,late,3,130.0,145.0,155.0
NEW,calibration,0,Ethanol,112.5,2,late,5,85.0,121.0,145.0
NEW,calibration,0,Ethanol,125.0,1,late,3,65.0,100.0,125.0
NEW,calibration,0,Ethanol,125.0,2,late,5,85.0,102.0,125.0
NEW,calibration,1,CO,25.0,1,late,4,65.0,98.75,140.0
NEW,calibration,1,CO,25.0,2,late,4,100.0,116.25,130.0
NEW,calibration,1,CO,50.0,1,late,4,75.0,118.75,160.0
NEW,calibration,1,CO,50.0,2,late,4,60.0,85.0,105.0
NEW,calibration,1,CO,75.0,1,late,3,140.0,151.66666666666666,160.0
NEW,calibration,1,CO,75.0,2,late,5,70.0,106.0,155.0
NEW,calibration,1,CO,100.0,1,late,3,100.0,108.33333333333333,115.0
NEW,calibration,1,CO,100.0,2,late,5,80.0,113.0,155.0
NEW,calibration,1,CO,125.0,1,late,4,85.0,118.75,155.0
NEW,calibration,1,CO,125.0,2,late,4,60.0,75.0,90.0
NEW,calibration,1,CO,150.0,1,late,6,65.0,102.5,155.0
NEW,calibration,1,CO,150.0,2,late,2,80.0,110.0,140.0
NEW,calibration,1,CO,175.0,1,late,2,95.0,127.5,160.0
NEW,calibration,1,CO,175.0,2,late,6,65.0,90.83333333333333,130.0
NEW,calibration,1,CO,200.0,1,late,2,75.0,105.0,135.0
NEW,calibration,1,CO,200.0,2,late,6,60.0,115.0,160.0
NEW,calibration,1,CO,225.0,1,late,3,75.0,93.33333333333333,115.0
NEW,calibration,1,CO,225.0,2,late,5,70.0,116.0,145.0
NEW,calibration,1,CO,250.0,1,late,4,60.0,115.0,145.0
NEW,calibration,1,CO,250.0,2,late,4,70.0,100.0,145.0
NEW,calibration,2,Ethylene,12.5,1,late,1,75.0,75.0,75.0
NEW,calibration,2,Ethylene,12.5,2,late,7,60.0,107.14285714285714,155.0
NEW,calibration,2,Ethylene,25.0,1,late,4,80.0,103.75,130.0
NEW,calibration,2,Ethylene,25.0,2,late,4,85.0,120.0,145.0
NEW,calibration,2,Ethylene,37.5,1,late,6,60.0,101.66666666666667,145.0
NEW,calibration,2,Ethylene,37.5,2,late,2,110.0,127.5,145.0
NEW,calibration,2,Ethylene,50.0,1,late,3,100.0,126.66666666666667,145.0
NEW,calibration,2,Ethylene,50.0,2,late,5,60.0,101.0,130.0
NEW,calibration,2,Ethylene,62.5,1,late,4,90.0,116.25,160.0
NEW,calibration,2,Ethylene,62.5,2,late,4,80.0,103.75,120.0
NEW,calibration,2,Ethylene,75.0,1,late,2,75.0,82.5,90.0
NEW,calibration,2,Ethylene,75.0,2,late,6,65.0,97.5,135.0
NEW,calibration,2,Ethylene,87.5,1,late,5,75.0,116.0,160.0
NEW,calibration,2,Ethylene,87.5,2,late,3,80.0,121.66666666666667,145.0
NEW,calibration,2,Ethylene,100.0,1,late,1,90.0,90.0,90.0
NEW,calibration,2,Ethylene,100.0,2,late,7,60.0,112.85714285714286,160.0
NEW,calibration,2,Ethylene,112.5,1,late,4,70.0,93.75,130.0
NEW,calibration,2,Ethylene,112.5,2,late,4,80.0,123.75,160.0
NEW,calibration,2,Ethylene,125.0,1,late,5,70.0,103.0,145.0
NEW,calibration,2,Ethylene,125.0,2,late,3,60.0,101.66666666666667,135.0
NEW,calibration,3,Methane,25.0,1,late,7,90.0,124.28571428571429,160.0
NEW,calibration,3,Methane,25.0,2,late,1,115.0,115.0,115.0
NEW,calibration,3,Methane,50.0,1,late,5,65.0,119.0,145.0
NEW,calibration,3,Methane,50.0,2,late,3,105.0,133.33333333333334,160.0
NEW,calibration,3,Methane,75.0,1,late,6,65.0,93.33333333333333,135.0
NEW,calibration,3,Methane,75.0,2,late,2,115.0,120.0,125.0
NEW,calibration,3,Methane,100.0,1,late,6,65.0,111.66666666666667,160.0
NEW,calibration,3,Methane,100.0,2,late,2,60.0,102.5,145.0
NEW,calibration,3,Methane,125.0,1,late,4,65.0,98.75,130.0
NEW,calibration,3,Methane,125.0,2,late,4,105.0,141.25,160.0
NEW,calibration,3,Methane,150.0,1,late,4,75.0,98.75,145.0
NEW,calibration,3,Methane,150.0,2,late,4,90.0,120.0,155.0
NEW,calibration,3,Methane,175.0,1,late,5,80.0,127.0,155.0
NEW,calibration,3,Methane,175.0,2,late,3,75.0,106.66666666666667,150.0
NEW,calibration,3,Methane,200.0,1,late,5,60.0,113.0,160.0
NEW,calibration,3,Methane,200.0,2,late,3,70.0,121.66666666666667,155.0
NEW,calibration,3,Methane,225.0,1,late,4,70.0,102.5,135.0
NEW,calibration,3,Methane,225.0,2,late,4,65.0,118.75,160.0
NEW,calibration,3,Methane,250.0,1,late,3,95.0,113.33333333333333,125.0
NEW,calibration,3,Methane,250.0,2,late,5,80.0,103.0,140.0
NEW,test,0,Ethanol,12.5,1,late,18,60.0,112.77777777777777,160.0
NEW,test,0,Ethanol,12.5,2,late,16,60.0,106.875,160.0
NEW,test,0,Ethanol,25.0,1,late,19,60.0,111.3157894736842,160.0
NEW,test,0,Ethanol,25.0,2,late,15,60.0,116.0,160.0
NEW,test,0,Ethanol,37.5,1,late,17,60.0,109.70588235294117,160.0
NEW,test,0,Ethanol,37.5,2,late,17,60.0,110.0,155.0
NEW,test,0,Ethanol,50.0,1,late,17,60.0,112.6470588235294,160.0
NEW,test,0,Ethanol,50.0,2,late,17,60.0,109.70588235294117,160.0
NEW,test,0,Ethanol,62.5,1,late,16,60.0,111.25,160.0
NEW,test,0,Ethanol,62.5,2,late,18,60.0,106.66666666666667,155.0
NEW,test,0,Ethanol,75.0,1,late,18,65.0,108.33333333333333,155.0
NEW,test,0,Ethanol,75.0,2,late,16,60.0,106.875,160.0
NEW,test,0,Ethanol,87.5,1,late,17,60.0,111.17647058823529,160.0
NEW,test,0,Ethanol,87.5,2,late,17,60.0,109.11764705882354,160.0
NEW,test,0,Ethanol,100.0,1,late,17,60.0,102.3529411764706,150.0
NEW,test,0,Ethanol,100.0,2,late,17,60.0,104.11764705882354,160.0
NEW,test,0,Ethanol,112.5,1,late,18,60.0,104.16666666666667,160.0
NEW,test,0,Ethanol,112.5,2,late,16,60.0,106.5625,160.0
NEW,test,0,Ethanol,125.0,1,late,18,60.0,111.66666666666667,160.0
NEW,test,0,Ethanol,125.0,2,late,16,60.0,112.5,160.0
NEW,test,1,CO,25.0,1,late,17,60.0,112.6470588235294,160.0
NEW,test,1,CO,25.0,2,late,17,60.0,108.52941176470588,160.0
NEW,test,1,CO,50.0,1,late,17,60.0,107.94117647058823,155.0
NEW,test,1,CO,50.0,2,late,17,65.0,115.88235294117646,160.0
NEW,test,1,CO,75.0,1,late,18,60.0,103.05555555555556,150.0
NEW,test,1,CO,75.0,2,late,16,60.0,111.25,160.0
NEW,test,1,CO,100.0,1,late,18,60.0,110.27777777777777,160.0
NEW,test,1,CO,100.0,2,late,16,60.0,109.0625,160.0
NEW,test,1,CO,125.0,1,late,17,60.0,107.94117647058823,160.0
NEW,test,1,CO,125.0,2,late,17,70.0,118.23529411764706,160.0
NEW,test,1,CO,150.0,1,late,15,60.0,113.0,160.0
NEW,test,1,CO,150.0,2,late,19,60.0,110.0,160.0
NEW,test,1,CO,175.0,1,late,19,60.0,108.15789473684211,155.0
NEW,test,1,CO,175.0,2,late,15,60.0,117.66666666666667,160.0
NEW,test,1,CO,200.0,1,late,19,60.0,110.52631578947368,160.0
NEW,test,1,CO,200.0,2,late,15,65.0,108.0,155.0
NEW,test,1,CO,225.0,1,late,18,60.0,112.77777777777777,160.0
NEW,test,1,CO,225.0,2,late,16,60.0,108.125,160.0
NEW,test,1,CO,250.0,1,late,17,65.0,108.82352941176471,160.0
NEW,test,1,CO,250.0,2,late,17,60.0,112.3529411764706,160.0
NEW,test,2,Ethylene,12.5,1,late,20,60.0,111.75,160.0
NEW,test,2,Ethylene,12.5,2,late,14,65.0,111.42857142857143,160.0
NEW,test,2,Ethylene,25.0,1,late,17,60.0,111.47058823529412,160.0
NEW,test,2,Ethylene,25.0,2,late,17,60.0,107.6470588235294,160.0
NEW,test,2,Ethylene,37.5,1,late,15,70.0,113.33333333333333,160.0
NEW,test,2,Ethylene,37.5,2,late,19,60.0,108.15789473684211,160.0
NEW,test,2,Ethylene,50.0,1,late,18,60.0,107.22222222222223,160.0
NEW,test,2,Ethylene,50.0,2,late,16,65.0,112.8125,160.0
NEW,test,2,Ethylene,62.5,1,late,17,60.0,108.52941176470588,155.0
NEW,test,2,Ethylene,62.5,2,late,17,60.0,111.47058823529412,160.0
NEW,test,2,Ethylene,75.0,1,late,19,60.0,112.89473684210526,160.0
NEW,test,2,Ethylene,75.0,2,late,15,60.0,115.0,160.0
NEW,test,2,Ethylene,87.5,1,late,16,60.0,108.125,155.0
NEW,test,2,Ethylene,87.5,2,late,18,60.0,108.05555555555556,160.0
NEW,test,2,Ethylene,100.0,1,late,20,60.0,111.0,160.0
NEW,test,2,Ethylene,100.0,2,late,14,70.0,108.57142857142857,155.0
NEW,test,2,Ethylene,112.5,1,late,17,60.0,113.82352941176471,160.0
NEW,test,2,Ethylene,112.5,2,late,17,60.0,106.76470588235294,150.0
NEW,test,2,Ethylene,125.0,1,late,16,60.0,112.1875,160.0
NEW,test,2,Ethylene,125.0,2,late,18,65.0,111.38888888888889,160.0
NEW,test,3,Methane,25.0,1,late,14,60.0,102.85714285714286,155.0
NEW,test,3,Methane,25.0,2,late,20,60.0,109.75,160.0
NEW,test,3,Methane,50.0,1,late,16,60.0,107.1875,160.0
NEW,test,3,Methane,50.0,2,late,18,60.0,106.11111111111111,155.0
NEW,test,3,Methane,75.0,1,late,15,60.0,116.66666666666667,160.0
NEW,test,3,Methane,75.0,2,late,19,60.0,108.94736842105263,160.0
NEW,test,3,Methane,100.0,1,late,15,60.0,109.33333333333333,155.0
NEW,test,3,Methane,100.0,2,late,19,65.0,110.78947368421052,160.0
NEW,test,3,Methane,125.0,1,late,17,60.0,112.6470588235294,160.0
NEW,test,3,Methane,125.0,2,late,17,60.0,102.6470588235294,150.0
NEW,test,3,Methane,150.0,1,late,17,60.0,112.6470588235294,160.0
NEW,test,3,Methane,150.0,2,late,17,60.0,107.6470588235294,160.0
NEW,test,3,Methane,175.0,1,late,16,60.0,104.6875,160.0
NEW,test,3,Methane,175.0,2,late,18,60.0,110.55555555555556,160.0
NEW,test,3,Methane,200.0,1,late,16,65.0,109.0625,150.0
NEW,test,3,Methane,200.0,2,late,18,60.0,108.05555555555556,160.0
NEW,test,3,Methane,225.0,1,late,17,60.0,111.76470588235294,160.0
NEW,test,3,Methane,225.0,2,late,17,60.0,107.94117647058823,155.0
NEW,test,3,Methane,250.0,1,late,18,60.0,109.44444444444444,160.0
NEW,test,3,Methane,250.0,2,late,16,60.0,112.1875,160.0
