case,split,original_processed_index,class_id,concentration
A_C1234_source_C5_target,calibration,500,0,25.0
A_C1234_source_C5_target,calibration,1247,2,125.0
A_C1234_source_C5_target,calibration,840,2,12.5
A_C1234_source_C5_target,calibration,1569,3,200.0
A_C1234_source_C5_target,calibration,1143,2,100.0
A_C1234_source_C5_target,calibration,1359,3,75.0
A_C1234_source_C5_target,calibration,865,2,12.5
A_C1234_source_C5_target,calibration,615,0,62.5
A_C1234_source_C5_target,calibration,202,1,125.0
A_C1234_source_C5_target,calibration,198,1,125.0
A_C1234_source_C5_target,calibration,857,2,12.5
A_C1234_source_C5_target,calibration,671,0,75.0
A_C1234_source_C5_target,calibration,229,1,150.0
A_C1234_source_C5_target,calibration,1541,3,175.0
A_C1234_source_C5_target,calibration,1448,3,125.0
A_C1234_source_C5_target,calibration,796,0,112.5
A_C1234_source_C5_target,calibration,817,0,125.0
A_C1234_source_C5_target,calibration,830,0,125.0
A_C1234_source_C5_target,calibration,324,1,200.0
A_C1234_source_C5_target,calibration,812,0,125.0
A_C1234_source_C5_target,calibration,1322,3,50.0
A_C1234_source_C5_target,calibration,1380,3,75.0
A_C1234_source_C5_target,calibration,369,1,225.0
A_C1234_source_C5_target,calibration,672,0,87.5
A_C1234_source_C5_target,calibration,436,0,12.5
A_C1234_source_C5_target,calibration,916,2,25.0
A_C1234_source_C5_target,calibration,1356,3,75.0
A_C1234_source_C5_target,calibration,978,2,50.0
A_C1234_source_C5_target,calibration,1296,3,25.0
A_C1234_source_C5_target,calibration,442,0,12.5
A_C1234_source_C5_target,calibration,715,0,100.0
A_C1234_source_C5_target,calibration,267,1,175.0
A_C1234_source_C5_target,calibration,537,0,37.5
A_C1234_source_C5_target,calibration,1430,3,125.0
A_C1234_source_C5_target,calibration,1401,3,100.0
A_C1234_source_C5_target,calibration,1056,2,75.0
A_C1234_source_C5_target,calibration,1596,3,225.0
A_C1234_source_C5_target,calibration,146,1,100.0
A_C1234_source_C5_target,calibration,1511,3,150.0
A_C1234_source_C5_target,calibration,433,0,12.5
A_C1234_source_C5_target,calibration,74,1,50.0
A_C1234_source_C5_target,calibration,1645,3,250.0
A_C1234_source_C5_target,calibration,443,0,12.5
A_C1234_source_C5_target,calibration,13,1,25.0
A_C1234_source_C5_target,calibration,492,0,25.0
A_C1234_source_C5_target,calibration,914,2,25.0
A_C1234_source_C5_target,calibration,688,0,87.5
A_C1234_source_C5_target,calibration,1660,3,250.0
A_C1234_source_C5_target,calibration,1095,2,87.5
A_C1234_source_C5_target,calibration,1676,3,250.0
A_C1234_source_C5_target,calibration,547,0,50.0
A_C1234_source_C5_target,calibration,427,0,12.5
A_C1234_source_C5_target,calibration,301,1,200.0
A_C1234_source_C5_target,calibration,698,0,87.5
A_C1234_source_C5_target,calibration,1394,3,100.0
A_C1234_source_C5_target,calibration,852,2,12.5
A_C1234_source_C5_target,calibration,1204,2,112.5
A_C1234_source_C5_target,calibration,1004,2,50.0
A_C1234_source_C5_target,calibration,1444,3,125.0
A_C1234_source_C5_target,calibration,1057,2,75.0
A_C1234_source_C5_target,calibration,257,1,175.0
A_C1234_source_C5_target,calibration,1510,3,150.0
A_C1234_source_C5_target,calibration,1391,3,100.0
A_C1234_source_C5_target,calibration,1619,3,225.0
A_C1234_source_C5_target,calibration,496,0,25.0
A_C1234_source_C5_target,calibration,1023,2,62.5
A_C1234_source_C5_target,calibration,878,2,12.5
A_C1234_source_C5_target,calibration,1212,2,112.5
A_C1234_source_C5_target,calibration,1080,2,75.0
A_C1234_source_C5_target,calibration,558,0,50.0
A_C1234_source_C5_target,calibration,997,2,50.0
A_C1234_source_C5_target,calibration,58,1,50.0
A_C1234_source_C5_target,calibration,1552,3,175.0
A_C1234_source_C5_target,calibration,592,0,62.5
A_C1234_source_C5_target,calibration,1182,2,112.5
A_C1234_source_C5_target,calibration,1197,2,112.5
A_C1234_source_C5_target,calibration,384,1,250.0
A_C1234_source_C5_target,calibration,599,0,62.5
A_C1234_source_C5_target,calibration,445,0,12.5
A_C1234_source_C5_target,calibration,950,2,37.5
A_C1234_source_C5_target,calibration,626,0,62.5
A_C1234_source_C5_target,calibration,1277,3,25.0
A_C1234_source_C5_target,calibration,87,1,75.0
A_C1234_source_C5_target,calibration,638,0,75.0
A_C1234_source_C5_target,calibration,197,1,125.0
A_C1234_source_C5_target,calibration,1172,2,100.0
A_C1234_source_C5_target,calibration,459,0,12.5
A_C1234_source_C5_target,calibration,232,1,150.0
A_C1234_source_C5_target,calibration,411,1,250.0
A_C1234_source_C5_target,calibration,917,2,25.0
A_C1234_source_C5_target,calibration,486,0,25.0
A_C1234_source_C5_target,calibration,357,1,225.0
A_C1234_source_C5_target,calibration,1259,2,125.0
A_C1234_source_C5_target,calibration,1500,3,150.0
A_C1234_source_C5_target,calibration,112,1,75.0
A_C1234_source_C5_target,calibration,1310,3,50.0
A_C1234_source_C5_target,calibration,366,1,225.0
A_C1234_source_C5_target,calibration,29,1,25.0
A_C1234_source_C5_target,calibration,603,0,62.5
A_C1234_source_C5_target,calibration,237,1,150.0
A_C1234_source_C5_target,calibration,928,2,37.5
A_C1234_source_C5_target,calibration,375,1,225.0
A_C1234_source_C5_target,calibration,1081,2,75.0
A_C1234_source_C5_target,calibration,632,0,75.0
A_C1234_source_C5_target,calibration,705,0,87.5
A_C1234_source_C5_target,calibration,1615,3,225.0
A_C1234_source_C5_target,calibration,1481,3,150.0
A_C1234_source_C5_target,calibration,1220,2,125.0
A_C1234_source_C5_target,calibration,791,0,112.5
A_C1234_source_C5_target,calibration,93,1,75.0
A_C1234_source_C5_target,calibration,711,0,87.5
A_C1234_source_C5_target,calibration,903,2,25.0
A_C1234_source_C5_target,calibration,1529,3,175.0
A_C1234_source_C5_target,calibration,623,0,62.5
A_C1234_source_C5_target,calibration,1319,3,50.0
A_C1234_source_C5_target,calibration,27,1,25.0
A_C1234_source_C5_target,calibration,831,0,125.0
A_C1234_source_C5_target,calibration,145,1,100.0
A_C1234_source_C5_target,calibration,1548,3,175.0
A_C1234_source_C5_target,calibration,657,0,75.0
A_C1234_source_C5_target,calibration,465,0,25.0
A_C1234_source_C5_target,calibration,1571,3,200.0
A_C1234_source_C5_target,calibration,154,1,100.0
A_C1234_source_C5_target,calibration,971,2,50.0
A_C1234_source_C5_target,calibration,1258,2,125.0
A_C1234_source_C5_target,calibration,1171,2,100.0
A_C1234_source_C5_target,calibration,1345,3,75.0
A_C1234_source_C5_target,calibration,1291,3,25.0
A_C1234_source_C5_target,calibration,477,0,25.0
A_C1234_source_C5_target,calibration,1508,3,150.0
A_C1234_source_C5_target,calibration,1515,3,175.0
A_C1234_source_C5_target,calibration,455,0,12.5
A_C1234_source_C5_target,calibration,637,0,75.0
A_C1234_source_C5_target,calibration,1243,2,125.0
A_C1234_source_C5_target,calibration,316,1,200.0
A_C1234_source_C5_target,calibration,1032,2,62.5
A_C1234_source_C5_target,calibration,751,0,100.0
A_C1234_source_C5_target,calibration,667,0,75.0
A_C1234_source_C5_target,calibration,1633,3,225.0
A_C1234_source_C5_target,calibration,589,0,62.5
A_C1234_source_C5_target,calibration,1151,2,100.0
A_C1234_source_C5_target,calibration,253,1,175.0
A_C1234_source_C5_target,calibration,855,2,12.5
A_C1234_source_C5_target,calibration,743,0,100.0
A_C1234_source_C5_target,calibration,885,2,25.0
A_C1234_source_C5_target,calibration,1393,3,100.0
A_C1234_source_C5_target,calibration,377,1,225.0
A_C1234_source_C5_target,calibration,1517,3,175.0
A_C1234_source_C5_target,calibration,1043,2,62.5
A_C1234_source_C5_target,calibration,1042,2,62.5
A_C1234_source_C5_target,calibration,1126,2,87.5
A_C1234_source_C5_target,calibration,1141,2,100.0
A_C1234_source_C5_target,calibration,1390,3,100.0
A_C1234_source_C5_target,calibration,1475,3,150.0
A_C1234_source_C5_target,calibration,962,2,37.5
A_C1234_source_C5_target,calibration,1334,3,50.0
A_C1234_source_C5_target,calibration,1281,3,25.0
A_C1234_source_C5_target,calibration,526,0,37.5
A_C1234_source_C5_target,calibration,870,2,12.5
A_C1234_source_C5_target,calibration,99,1,75.0
A_C1234_source_C5_target,calibration,640,0,75.0
A_C1234_source_C5_target,calibration,1016,2,62.5
A_C1234_source_C5_target,calibration,1154,2,100.0
A_C1234_source_C5_target,calibration,1075,2,75.0
A_C1234_source_C5_target,calibration,1653,3,250.0
A_C1234_source_C5_target,calibration,1070,2,75.0
A_C1234_source_C5_target,calibration,1387,3,100.0
A_C1234_source_C5_target,calibration,321,1,200.0
A_C1234_source_C5_target,calibration,922,2,25.0
A_C1234_source_C5_target,calibration,1418,3,100.0
A_C1234_source_C5_target,calibration,416,1,250.0
A_C1234_source_C5_target,calibration,863,2,12.5
A_C1234_source_C5_target,calibration,1025,2,62.5
A_C1234_source_C5_target,calibration,934,2,37.5
A_C1234_source_C5_target,calibration,1315,3,50.0
A_C1234_source_C5_target,calibration,1616,3,225.0
A_C1234_source_C5_target,calibration,71,1,50.0
A_C1234_source_C5_target,calibration,109,1,75.0
A_C1234_source_C5_target,calibration,559,0,50.0
A_C1234_source_C5_target,calibration,166,1,100.0
A_C1234_source_C5_target,calibration,1358,3,75.0
A_C1234_source_C5_target,calibration,178,1,125.0
A_C1234_source_C5_target,calibration,1573,3,200.0
A_C1234_source_C5_target,calibration,261,1,175.0
A_C1234_source_C5_target,calibration,50,1,50.0
A_C1234_source_C5_target,calibration,1312,3,50.0
A_C1234_source_C5_target,calibration,727,0,100.0
A_C1234_source_C5_target,calibration,1445,3,125.0
A_C1234_source_C5_target,calibration,1215,2,112.5
A_C1234_source_C5_target,calibration,1598,3,225.0
A_C1234_source_C5_target,calibration,319,1,200.0
A_C1234_source_C5_target,calibration,1471,3,150.0
A_C1234_source_C5_target,calibration,587,0,50.0
A_C1234_source_C5_target,calibration,649,0,75.0
A_C1234_source_C5_target,calibration,114,1,75.0
A_C1234_source_C5_target,calibration,236,1,150.0
A_C1234_source_C5_target,calibration,692,0,87.5
A_C1234_source_C5_target,calibration,511,0,37.5
A_C1234_source_C5_target,calibration,569,0,50.0
A_C1234_source_C5_target,calibration,501,0,25.0
A_C1234_source_C5_target,calibration,1217,2,112.5
A_C1234_source_C5_target,calibration,289,1,175.0
A_C1234_source_C5_target,calibration,1,1,25.0
A_C1234_source_C5_target,calibration,254,1,175.0
A_C1234_source_C5_target,calibration,1593,3,200.0
A_C1234_source_C5_target,calibration,142,1,100.0
A_C1234_source_C5_target,calibration,351,1,225.0
A_C1234_source_C5_target,calibration,176,1,125.0
A_C1234_source_C5_target,calibration,960,2,37.5
A_C1234_source_C5_target,calibration,776,0,112.5
A_C1234_source_C5_target,calibration,1272,3,25.0
A_C1234_source_C5_target,calibration,1210,2,112.5
A_C1234_source_C5_target,calibration,1636,3,225.0
A_C1234_source_C5_target,calibration,1582,3,200.0
A_C1234_source_C5_target,calibration,1062,2,75.0
A_C1234_source_C5_target,calibration,104,1,75.0
A_C1234_source_C5_target,calibration,512,0,37.5
A_C1234_source_C5_target,calibration,1374,3,75.0
A_C1234_source_C5_target,calibration,31,1,25.0
A_C1234_source_C5_target,calibration,34,1,25.0
A_C1234_source_C5_target,calibration,561,0,50.0
A_C1234_source_C5_target,calibration,193,1,125.0
A_C1234_source_C5_target,calibration,909,2,25.0
A_C1234_source_C5_target,calibration,1262,3,25.0
A_C1234_source_C5_target,calibration,745,0,100.0
A_C1234_source_C5_target,calibration,77,1,50.0
A_C1234_source_C5_target,calibration,43,1,50.0
A_C1234_source_C5_target,calibration,967,2,50.0
A_C1234_source_C5_target,calibration,1539,3,175.0
A_C1234_source_C5_target,calibration,938,2,37.5
A_C1234_source_C5_target,calibration,794,0,112.5
A_C1234_source_C5_target,calibration,464,0,25.0
A_C1234_source_C5_target,calibration,1117,2,87.5
A_C1234_source_C5_target,calibration,153,1,100.0
A_C1234_source_C5_target,calibration,744,0,100.0
A_C1234_source_C5_target,calibration,1679,3,250.0
A_C1234_source_C5_target,calibration,222,1,150.0
A_C1234_source_C5_target,calibration,613,0,62.5
A_C1234_source_C5_target,calibration,1040,2,62.5
A_C1234_source_C5_target,calibration,1429,3,125.0
A_C1234_source_C5_target,calibration,159,1,100.0
A_C1234_source_C5_target,calibration,534,0,37.5
A_C1234_source_C5_target,calibration,1558,3,200.0
A_C1234_source_C5_target,calibration,906,2,25.0
A_C1234_source_C5_target,calibration,401,1,250.0
A_C1234_source_C5_target,calibration,983,2,50.0
A_C1234_source_C5_target,calibration,1648,3,250.0
A_C1234_source_C5_target,calibration,1226,2,125.0
A_C1234_source_C5_target,calibration,1434,3,125.0
A_C1234_source_C5_target,calibration,1308,3,50.0
A_C1234_source_C5_target,calibration,208,1,125.0
A_C1234_source_C5_target,calibration,1128,2,87.5
A_C1234_source_C5_target,calibration,1640,3,250.0
A_C1234_source_C5_target,calibration,1449,3,125.0
A_C1234_source_C5_target,calibration,1221,2,125.0
A_C1234_source_C5_target,calibration,271,1,175.0
A_C1234_source_C5_target,calibration,1115,2,87.5
A_C1234_source_C5_target,calibration,931,2,37.5
A_C1234_source_C5_target,calibration,1318,3,50.0
A_C1234_source_C5_target,calibration,956,2,37.5
A_C1234_source_C5_target,calibration,773,0,112.5
A_C1234_source_C5_target,calibration,1098,2,87.5
A_C1234_source_C5_target,calibration,149,1,100.0
A_C1234_source_C5_target,calibration,1466,3,125.0
A_C1234_source_C5_target,calibration,408,1,250.0
A_C1234_source_C5_target,calibration,215,1,150.0
A_C1234_source_C5_target,calibration,1361,3,75.0
A_C1234_source_C5_target,calibration,816,0,125.0
A_C1234_source_C5_target,calibration,318,1,200.0
A_C1234_source_C5_target,calibration,1269,3,25.0
A_C1234_source_C5_target,calibration,1668,3,250.0
A_C1234_source_C5_target,calibration,339,1,225.0
A_C1234_source_C5_target,calibration,1029,2,62.5
A_C1234_source_C5_target,calibration,221,1,150.0
A_C1234_source_C5_target,calibration,1114,2,87.5
A_C1234_source_C5_target,calibration,1137,2,100.0
A_C1234_source_C5_target,test,106,1,75.0
A_C1234_source_C5_target,test,1368,3,75.0
A_C1234_source_C5_target,test,1194,2,112.5
A_C1234_source_C5_target,test,731,0,100.0
A_C1234_source_C5_target,test,694,0,87.5
A_C1234_source_C5_target,test,709,0,87.5
A_C1234_source_C5_target,test,334,1,200.0
A_C1234_source_C5_target,test,1669,3,250.0
A_C1234_source_C5_target,test,1388,3,100.0
A_C1234_source_C5_target,test,1189,2,112.5
A_C1234_source_C5_target,test,737,0,100.0
A_C1234_source_C5_target,test,470,0,25.0
A_C1234_source_C5_target,test,714,0,100.0
A_C1234_source_C5_target,test,676,0,87.5
A_C1234_source_C5_target,test,1009,2,62.5
A_C1234_source_C5_target,test,598,0,62.5
A_C1234_source_C5_target,test,1060,2,75.0
A_C1234_source_C5_target,test,674,0,87.5
A_C1234_source_C5_target,test,1260,3,25.0
A_C1234_source_C5_target,test,860,2,12.5
A_C1234_source_C5_target,test,1644,3,250.0
A_C1234_source_C5_target,test,1408,3,100.0
A_C1234_source_C5_target,test,1502,3,150.0
A_C1234_source_C5_target,test,1102,2,87.5
A_C1234_source_C5_target,test,484,0,25.0
A_C1234_source_C5_target,test,644,0,75.0
A_C1234_source_C5_target,test,376,1,225.0
A_C1234_source_C5_target,test,100,1,75.0
A_C1234_source_C5_target,test,182,1,125.0
A_C1234_source_C5_target,test,262,1,175.0
A_C1234_source_C5_target,test,1195,2,112.5
A_C1234_source_C5_target,test,1021,2,62.5
A_C1234_source_C5_target,test,444,0,12.5
A_C1234_source_C5_target,test,1624,3,225.0
A_C1234_source_C5_target,test,1304,3,50.0
A_C1234_source_C5_target,test,892,2,25.0
A_C1234_source_C5_target,test,1456,3,125.0
A_C1234_source_C5_target,test,734,0,100.0
A_C1234_source_C5_target,test,252,1,175.0
A_C1234_source_C5_target,test,1065,2,75.0
A_C1234_source_C5_target,test,386,1,250.0
A_C1234_source_C5_target,test,1264,3,25.0
A_C1234_source_C5_target,test,207,1,125.0
A_C1234_source_C5_target,test,1379,3,75.0
A_C1234_source_C5_target,test,532,0,37.5
A_C1234_source_C5_target,test,1580,3,200.0
A_C1234_source_C5_target,test,307,1,200.0
A_C1234_source_C5_target,test,61,1,50.0
A_C1234_source_C5_target,test,1450,3,125.0
A_C1234_source_C5_target,test,913,2,25.0
A_C1234_source_C5_target,test,716,0,100.0
A_C1234_source_C5_target,test,1076,2,75.0
A_C1234_source_C5_target,test,4,1,25.0
A_C1234_source_C5_target,test,1107,2,87.5
A_C1234_source_C5_target,test,1219,2,125.0
A_C1234_source_C5_target,test,177,1,125.0
A_C1234_source_C5_target,test,541,0,37.5
A_C1234_source_C5_target,test,169,1,125.0
A_C1234_source_C5_target,test,204,1,125.0
A_C1234_source_C5_target,test,7,1,25.0
A_C1234_source_C5_target,test,21,1,25.0
A_C1234_source_C5_target,test,1013,2,62.5
A_C1234_source_C5_target,test,1082,2,75.0
A_C1234_source_C5_target,test,1343,3,50.0
A_C1234_source_C5_target,test,1120,2,87.5
A_C1234_source_C5_target,test,1631,3,225.0
A_C1234_source_C5_target,test,891,2,25.0
A_C1234_source_C5_target,test,487,0,25.0
A_C1234_source_C5_target,test,566,0,50.0
A_C1234_source_C5_target,test,1170,2,100.0
A_C1234_source_C5_target,test,1561,3,200.0
A_C1234_source_C5_target,test,349,1,225.0
A_C1234_source_C5_target,test,1395,3,100.0
A_C1234_source_C5_target,test,899,2,25.0
A_C1234_source_C5_target,test,40,1,25.0
A_C1234_source_C5_target,test,1543,3,175.0
A_C1234_source_C5_target,test,575,0,50.0
A_C1234_source_C5_target,test,120,1,75.0
A_C1234_source_C5_target,test,842,2,12.5
A_C1234_source_C5_target,test,859,2,12.5
A_C1234_source_C5_target,test,889,2,25.0
A_C1234_source_C5_target,test,614,0,62.5
A_C1234_source_C5_target,test,320,1,200.0
A_C1234_source_C5_target,test,1504,3,150.0
A_C1234_source_C5_target,test,1187,2,112.5
A_C1234_source_C5_target,test,1055,2,75.0
A_C1234_source_C5_target,test,1642,3,250.0
A_C1234_source_C5_target,test,382,1,250.0
A_C1234_source_C5_target,test,251,1,150.0
A_C1234_source_C5_target,test,495,0,25.0
A_C1234_source_C5_target,test,1224,2,125.0
A_C1234_source_C5_target,test,82,1,50.0
A_C1234_source_C5_target,test,1233,2,125.0
A_C1234_source_C5_target,test,814,0,125.0
A_C1234_source_C5_target,test,759,0,112.5
A_C1234_source_C5_target,test,799,0,125.0
A_C1234_source_C5_target,test,617,0,62.5
A_C1234_source_C5_target,test,276,1,175.0
A_C1234_source_C5_target,test,23,1,25.0
A_C1234_source_C5_target,test,940,2,37.5
A_C1234_source_C5_target,test,170,1,125.0
A_C1234_source_C5_target,test,136,1,100.0
A_C1234_source_C5_target,test,833,0,125.0
A_C1234_source_C5_target,test,1340,3,50.0
A_C1234_source_C5_target,test,651,0,75.0
A_C1234_source_C5_target,test,1205,2,112.5
A_C1234_source_C5_target,test,1409,3,100.0
A_C1234_source_C5_target,test,805,0,125.0
A_C1234_source_C5_target,test,1650,3,250.0
A_C1234_source_C5_target,test,963,2,37.5
A_C1234_source_C5_target,test,550,0,50.0
A_C1234_source_C5_target,test,704,0,87.5
A_C1234_source_C5_target,test,451,0,12.5
A_C1234_source_C5_target,test,298,1,200.0
A_C1234_source_C5_target,test,1163,2,100.0
A_C1234_source_C5_target,test,832,0,125.0
A_C1234_source_C5_target,test,1452,3,125.0
A_C1234_source_C5_target,test,424,0,12.5
A_C1234_source_C5_target,test,1225,2,125.0
A_C1234_source_C5_target,test,793,0,112.5
A_C1234_source_C5_target,test,265,1,175.0
A_C1234_source_C5_target,test,523,0,37.5
A_C1234_source_C5_target,test,774,0,112.5
A_C1234_source_C5_target,test,1001,2,50.0
A_C1234_source_C5_target,test,1641,3,250.0
A_C1234_source_C5_target,test,701,0,87.5
A_C1234_source_C5_target,test,606,0,62.5
A_C1234_source_C5_target,test,1360,3,75.0
A_C1234_source_C5_target,test,226,1,150.0
A_C1234_source_C5_target,test,1630,3,225.0
A_C1234_source_C5_target,test,1214,2,112.5
A_C1234_source_C5_target,test,450,0,12.5
A_C1234_source_C5_target,test,1392,3,100.0
A_C1234_source_C5_target,test,1069,2,75.0
A_C1234_source_C5_target,test,1094,2,87.5
A_C1234_source_C5_target,test,480,0,25.0
A_C1234_source_C5_target,test,754,0,100.0
A_C1234_source_C5_target,test,286,1,175.0
A_C1234_source_C5_target,test,1287,3,25.0
A_C1234_source_C5_target,test,641,0,75.0
A_C1234_source_C5_target,test,1257,2,125.0
A_C1234_source_C5_target,test,387,1,250.0
A_C1234_source_C5_target,test,195,1,125.0
A_C1234_source_C5_target,test,1534,3,175.0
A_C1234_source_C5_target,test,1274,3,25.0
A_C1234_source_C5_target,test,1298,3,25.0
A_C1234_source_C5_target,test,609,0,62.5
A_C1234_source_C5_target,test,720,0,100.0
A_C1234_source_C5_target,test,851,2,12.5
A_C1234_source_C5_target,test,811,0,125.0
A_C1234_source_C5_target,test,356,1,225.0
A_C1234_source_C5_target,test,782,0,112.5
A_C1234_source_C5_target,test,974,2,50.0
A_C1234_source_C5_target,test,1603,3,225.0
A_C1234_source_C5_target,test,1597,3,225.0
A_C1234_source_C5_target,test,133,1,100.0
A_C1234_source_C5_target,test,1301,3,25.0
A_C1234_source_C5_target,test,1588,3,200.0
A_C1234_source_C5_target,test,1250,2,125.0
A_C1234_source_C5_target,test,1030,2,62.5
A_C1234_source_C5_target,test,1381,3,75.0
A_C1234_source_C5_target,test,1150,2,100.0
A_C1234_source_C5_target,test,462,0,25.0
A_C1234_source_C5_target,test,303,1,200.0
A_C1234_source_C5_target,test,691,0,87.5
A_C1234_source_C5_target,test,1533,3,175.0
A_C1234_source_C5_target,test,38,1,25.0
A_C1234_source_C5_target,test,1078,2,75.0
A_C1234_source_C5_target,test,1176,2,112.5
A_C1234_source_C5_target,test,1323,3,50.0
A_C1234_source_C5_target,test,633,0,75.0
A_C1234_source_C5_target,test,1211,2,112.5
A_C1234_source_C5_target,test,957,2,37.5
A_C1234_source_C5_target,test,274,1,175.0
A_C1234_source_C5_target,test,481,0,25.0
A_C1234_source_C5_target,test,910,2,25.0
A_C1234_source_C5_target,test,944,2,37.5
A_C1234_source_C5_target,test,453,0,12.5
A_C1234_source_C5_target,test,156,1,100.0
A_C1234_source_C5_target,test,856,2,12.5
A_C1234_source_C5_target,test,1432,3,125.0
A_C1234_source_C5_target,test,521,0,37.5
A_C1234_source_C5_target,test,965,2,37.5
A_C1234_source_C5_target,test,862,2,12.5
A_C1234_source_C5_target,test,1476,3,150.0
A_C1234_source_C5_target,test,690,0,87.5
A_C1234_source_C5_target,test,1497,3,150.0
A_C1234_source_C5_target,test,1147,2,100.0
A_C1234_source_C5_target,test,846,2,12.5
A_C1234_source_C5_target,test,1058,2,75.0
A_C1234_source_C5_target,test,1181,2,112.5
A_C1234_source_C5_target,test,1493,3,150.0
A_C1234_source_C5_target,test,1661,3,250.0
A_C1234_source_C5_target,test,1067,2,75.0
A_C1234_source_C5_target,test,660,0,75.0
A_C1234_source_C5_target,test,17,1,25.0
A_C1234_source_C5_target,test,546,0,50.0
A_C1234_source_C5_target,test,1675,3,250.0
A_C1234_source_C5_target,test,788,0,112.5
A_C1234_source_C5_target,test,196,1,125.0
A_C1234_source_C5_target,test,239,1,150.0
A_C1234_source_C5_target,test,969,2,50.0
A_C1234_source_C5_target,test,68,1,50.0
A_C1234_source_C5_target,test,1149,2,100.0
A_C1234_source_C5_target,test,702,0,87.5
A_C1234_source_C5_target,test,1119,2,87.5
A_C1234_source_C5_target,test,1020,2,62.5
A_C1234_source_C5_target,test,220,1,150.0
A_C1234_source_C5_target,test,466,0,25.0
A_C1234_source_C5_target,test,6,1,25.0
A_C1234_source_C5_target,test,941,2,37.5
A_C1234_source_C5_target,test,756,0,112.5
A_C1234_source_C5_target,test,1438,3,125.0
A_C1234_source_C5_target,test,86,1,75.0
A_C1234_source_C5_target,test,1041,2,62.5
A_C1234_source_C5_target,test,867,2,12.5
A_C1234_source_C5_target,test,551,0,50.0
A_C1234_source_C5_target,test,1228,2,125.0
A_C1234_source_C5_target,test,461,0,12.5
A_C1234_source_C5_target,test,1251,2,125.0
A_C1234_source_C5_target,test,1027,2,62.5
A_C1234_source_C5_target,test,666,0,75.0
A_C1234_source_C5_target,test,1336,3,50.0
A_C1234_source_C5_target,test,171,1,125.0
A_C1234_source_C5_target,test,115,1,75.0
A_C1234_source_C5_target,test,847,2,12.5
A_C1234_source_C5_target,test,359,1,225.0
A_C1234_source_C5_target,test,1472,3,150.0
A_C1234_source_C5_target,test,1528,3,175.0
A_C1234_source_C5_target,test,721,0,100.0
A_C1234_source_C5_target,test,935,2,37.5
A_C1234_source_C5_target,test,1052,2,75.0
A_C1234_source_C5_target,test,1178,2,112.5
A_C1234_source_C5_target,test,413,1,250.0
A_C1234_source_C5_target,test,1242,2,125.0
A_C1234_source_C5_target,test,1005,2,50.0
A_C1234_source_C5_target,test,973,2,50.0
A_C1234_source_C5_target,test,1002,2,50.0
A_C1234_source_C5_target,test,458,0,12.5
A_C1234_source_C5_target,test,822,0,125.0
A_C1234_source_C5_target,test,1026,2,62.5
A_C1234_source_C5_target,test,45,1,50.0
A_C1234_source_C5_target,test,1667,3,250.0
A_C1234_source_C5_target,test,1265,3,25.0
A_C1234_source_C5_target,test,1501,3,150.0
A_C1234_source_C5_target,test,1289,3,25.0
A_C1234_source_C5_target,test,929,2,37.5
A_C1234_source_C5_target,test,180,1,125.0
A_C1234_source_C5_target,test,1333,3,50.0
