candidate_id,client,gas,N,mean_abs_feature_concentration_corr,within_concentration_variance
HZ5_MEDIAN_W10S,C5,Ethylene,80,0.4696821305428545,1.0104552910559357
HZ5_MEDIAN_W10S,C5,Methane,80,0.3331423582021179,73.6918029668005
HZ5_MEDIAN_W20S,C3,CO,91,0.34454060096942346,40.74374263104145
HZ5_MEDIAN_W20S,C3,Ethanol,89,0.4154641875842412,21.932524287519374
HZ5_MEDIAN_W20S,C3,Ethylene,92,0.4551770372854706,7.938305556153098
HZ5_MEDIAN_W20S,C3,Methane,85,0.4826539413598653,52.421557097053544
HZ5_MEDIAN_W20S,C4,CO,36,0.40490118493271393,25.61095875467747
HZ5_MEDIAN_W20S,C4,Ethanol,33,0.4063135524801344,12.676972604806584
HZ5_MEDIAN_W20S,C4,Ethylene,39,0.42616611863832365,18.093352073639657
HZ5_MEDIAN_W20S,C4,Methane,40,0.5466818684628418,36.68875593105506
HZ5_MEDIAN_W20S,C5,CO,36,0.4255503137168117,52.10117379744576
HZ5_MEDIAN_W20S,C5,Ethanol,37,0.3728644834111147,8.262175348743398
HZ5_MEDIAN_W20S,C5,Ethylene,35,0.48796152267834275,0.2611894933240074
HZ5_MEDIAN_W20S,C5,Methane,29,0.3296714248935294,63.97219622110625
HZ10_MEAN_W10S,C3,CO,166,0.35937421652159074,33.304944233022134
HZ10_MEAN_W10S,C3,Ethanol,168,0.37345621529633366,22.6118604116751
HZ10_MEAN_W10S,C3,Ethylene,169,0.40908734849225387,5.053377740338828
HZ10_MEAN_W10S,C3,Methane,170,0.486530953079908,57.367778386382554
HZ10_MEAN_W10S,C4,CO,80,0.41945298721494273,16.13371953733598
HZ10_MEAN_W10S,C4,Ethanol,80,0.3658783833611909,8.865496959808373
HZ10_MEAN_W10S,C4,Ethylene,80,0.4430962107680995,19.761534066312056
HZ10_MEAN_W10S,C4,Methane,80,0.47197572645653274,40.945291412311605
HZ10_MEAN_W10S,C5,CO,80,0.36791371987911664,51.25269670468294
HZ10_MEAN_W10S,C5,Ethanol,77,0.3867335413290705,1.567918198294596
HZ10_MEAN_W10S,C5,Ethylene,80,0.4803370845029502,1.6777881484262425
HZ10_MEAN_W10S,C5,Methane,80,0.3366255728443859,52.53644463024714
HZ10_MEAN_W20S,C3,CO,89,0.35525540823337015,34.84634196922823
HZ10_MEAN_W20S,C3,Ethanol,84,0.4200361921626624,22.87334484865135
HZ10_MEAN_W20S,C3,Ethylene,91,0.4635766214375869,5.0038561003613395
HZ10_MEAN_W20S,C3,Methane,85,0.48750737038275377,72.10776761577416
HZ10_MEAN_W20S,C4,CO,36,0.4043391320559654,50.79872953315221
HZ10_MEAN_W20S,C4,Ethanol,33,0.41924302429521226,14.485100226257865
HZ10_MEAN_W20S,C4,Ethylene,39,0.43704338197357506,18.917059372108785
HZ10_MEAN_W20S,C4,Methane,40,0.5473625563272337,46.65298106788947
HZ10_MEAN_W20S,C5,CO,36,0.42535626806739435,50.84066090126387
HZ10_MEAN_W20S,C5,Ethanol,35,0.34968913288471265,6.001458950254067
HZ10_MEAN_W20S,C5,Ethylene,35,0.48866926620255813,0.22492032549268082
HZ10_MEAN_W20S,C5,Methane,29,0.3369073562371801,66.40441880915398
HZ10_MEDIAN_W10S,C3,CO,166,0.3622253801269999,33.15520186637333
HZ10_MEDIAN_W10S,C3,Ethanol,168,0.3675905265032069,22.05246381134204
HZ10_MEDIAN_W10S,C3,Ethylene,169,0.411461817258647,4.993733913530787
HZ10_MEDIAN_W10S,C3,Methane,170,0.4912305518106467,53.59527391506835
HZ10_MEDIAN_W10S,C4,CO,80,0.41104180733862206,14.116673414127089
HZ10_MEDIAN_W10S,C4,Ethanol,80,0.36482519518147194,11.959427426668118
HZ10_MEDIAN_W10S,C4,Ethylene,80,0.4454426919267319,19.718219442617233
HZ10_MEDIAN_W10S,C4,Methane,80,0.472240961105759,36.047620113527486
HZ10_MEDIAN_W10S,C5,CO,80,0.3654540073346491,50.573413243622035
HZ10_MEDIAN_W10S,C5,Ethanol,77,0.3914284140448657,1.4098885980035907
HZ10_MEDIAN_W10S,C5,Ethylene,80,0.47499841847734103,0.18151834988826182
HZ10_MEDIAN_W10S,C5,Methane,80,0.33564242815603634,55.75669253904838
HZ10_MEDIAN_W20S,C3,CO,89,0.35659126687429493,35.85820254179346
HZ10_MEDIAN_W20S,C3,Ethanol,84,0.4184180152747598,22.39007398541279
HZ10_MEDIAN_W20S,C3,Ethylene,91,0.4651001928230452,4.663529812425888
HZ10_MEDIAN_W20S,C3,Methane,85,0.4903210655360227,69.31919636338259
HZ10_MEDIAN_W20S,C4,CO,36,0.39856150419488834,46.629477901732365
HZ10_MEDIAN_W20S,C4,Ethanol,33,0.4214176905889096,14.49205883366741
HZ10_MEDIAN_W20S,C4,Ethylene,39,0.44362979577491823,18.86371688047596
HZ10_MEDIAN_W20S,C4,Methane,40,0.5452211965418977,41.80625506865557
HZ10_MEDIAN_W20S,C5,CO,36,0.4274230694938431,50.1499454472449
HZ10_MEDIAN_W20S,C5,Ethanol,35,0.36452898278455326,5.965250275598673
HZ10_MEDIAN_W20S,C5,Ethylene,35,0.4881273994195007,0.21901627061316287
HZ10_MEDIAN_W20S,C5,Methane,29,0.3393450538939012,71.32108126319889
