experiment_id,source_clients,target_clients,split_protocol,model,checkpoint,DA,calibration,QC,seed,result_path,metrics,status,notes,code_commit,config_path,dataset_path,created_at,evidence_status,provenance
FCL-E2-DANN-C3,C1;C2,C3,timeaware_60_170_window_fullgrid,classification_TCN,P0A_round25_sha256_4313c375,canonical_unconditional_DANN,x_only,none,42,results/iotj_final_classification_le1_20260804/e2_dann_c3,planned,draft,100 steps;lambda0.5;GRL+BCE,11cfbba,pending_implementation,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid,2026-08-04,draft,user_approved_E2
FCL-E2-DANN-C4,C1;C2,C4,timeaware_60_170_window_fullgrid,classification_TCN,P0A_round25_sha256_4313c375,canonical_unconditional_DANN,x_only,none,42,results/iotj_final_classification_le1_20260804/e2_dann_c4,planned,draft,100 steps;lambda0.5;GRL+BCE,11cfbba,pending_implementation,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid,2026-08-04,draft,user_approved_E2
FCL-E2-DANN-C5,C1;C2,C5,timeaware_60_170_window_fullgrid,classification_TCN,P0A_round25_sha256_4313c375,canonical_unconditional_DANN,x_only,none,42,results/iotj_final_classification_le1_20260804/e2_dann_c5,planned,draft,100 steps;lambda0.5;GRL+BCE,11cfbba,pending_implementation,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid,2026-08-04,draft,user_approved_E2
FCL-E3-GAPS-C3,C1;C2,C3,timeaware_60_170_window_fullgrid,classification_TCN,round25,full_GAPS,full_target_calibration,none,42,results/iotj_final_classification_le1_20260804/e3_gaps_c3,planned,draft,Adam5e-4;warmup5,11cfbba,pending_implementation,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid,2026-08-04,draft,user_approved_design
FCL-E3-GAPS-C4,C1;C2,C4,timeaware_60_170_window_fullgrid,classification_TCN,round25,full_GAPS,full_target_calibration,none,42,results/iotj_final_classification_le1_20260804/e3_gaps_c4,planned,draft,Adam5e-4;warmup5,11cfbba,pending_implementation,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid,2026-08-04,draft,user_approved_design
FCL-E3-GAPS-C5,C1;C2,C5,timeaware_60_170_window_fullgrid,classification_TCN,round25,full_GAPS,full_target_calibration,none,42,results/iotj_final_classification_le1_20260804/e3_gaps_c5,planned,draft,Adam5e-4;warmup5;also A6,11cfbba,pending_implementation,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid,2026-08-04,draft,user_approved_design
FCL-E4-A1,C1;C2,C5,timeaware_60_170_window_fullgrid,classification_TCN,round25,none,none,none,42,results/iotj_final_classification_le1_20260804/e4_a1,planned,draft,proto_only;source statistics only,11cfbba,pending_implementation,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid,2026-08-04,draft,user_approved_design
FCL-E4-A2,C1;C2,C5,timeaware_60_170_window_fullgrid,classification_TCN,round25,none,none,none,42,results/iotj_final_classification_le1_20260804/e4_a2,planned,draft,proto_replay;source statistics only,11cfbba,pending_implementation,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid,2026-08-04,draft,user_approved_design
FCL-E4-A3,C1;C2,C5,timeaware_60_170_window_fullgrid,classification_TCN,round25,none,none,none,42,results/iotj_final_classification_le1_20260804/e4_a3,planned,draft,proto_replay;source statistics only;selective warmup5,11cfbba,pending_implementation,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid,2026-08-04,draft,user_approved_design
FCL-E4-A4,C1;C2,C5,timeaware_60_170_window_fullgrid,classification_TCN,round25,full_server_DA,full_target_calibration,none,42,results/iotj_final_classification_le1_20260804/e4_a4,planned,draft,ce_stats;adapted_as_global,11cfbba,pending_implementation,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid,2026-08-04,draft,user_approved_design
FCL-E4-A5,C1;C2,C5,timeaware_60_170_window_fullgrid,classification_TCN,round25,full_server_DA,full_target_calibration,none,42,results/iotj_final_classification_le1_20260804/e4_a5,planned,draft,proto_replay;no selective;adapted_as_global,11cfbba,pending_implementation,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid,2026-08-04,draft,user_approved_design
