sample_index,pred_class,h8_ppm,deployment_risk_full,qc_decision,auto_output_ppm,qc_workpoint,selected_profile,filename,repeat_id
26,0,56.38718236972743,0.6541666666666667,accept,56.38718236972743,HC95,b5_c5_r4_h23_hc95,B5_GEa_F020_R1.txt,1
27,3,128.6659706991098,0.21666666666666665,accept,128.6659706991098,HC95,b5_c5_r4_h23_hc95,B5_GMe_F050_R2.txt,2
28,3,97.9596812955811,0.10625,accept,97.9596812955811,HC95,b5_c5_r4_h23_hc95,B5_GMe_F040_R2.txt,2
29,1,25.0,0.5708333333333333,accept,25.0,HC95,b5_c5_r4_h23_hc95,B5_GCO_F010_R1.txt,1
30,2,12.5,0.59375,accept,12.5,HC95,b5_c5_r4_h23_hc95,B5_GEy_F010_R2.txt,2
31,0,36.99854186984062,0.45,accept,36.99854186984062,HC95,b5_c5_r4_h23_hc95,B5_GEa_F030_R1.txt,1
32,0,117.50086816503607,0.5270833333333333,accept,117.50086816503607,HC95,b5_c5_r4_h23_hc95,B5_GEa_F090_R2.txt,2
33,1,141.41670970076876,0.5458333333333333,accept,141.41670970076876,HC95,b5_c5_r4_h23_hc95,B5_GCO_F050_R1.txt,1
34,0,62.46724277764751,0.4208333333333334,accept,62.46724277764751,HC95,b5_c5_r4_h23_hc95,B5_GEa_F050_R2.txt,2
35,3,32.151828353489705,0.17708333333333334,accept,32.151828353489705,HC95,b5_c5_r4_h23_hc95,B5_GMe_F010_R1.txt,1
36,3,177.10207550272133,0.19999999999999998,accept,177.10207550272133,HC95,b5_c5_r4_h23_hc95,B5_GMe_F070_R2.txt,2
37,3,239.39459758163315,0.5083333333333333,accept,239.39459758163315,HC95,b5_c5_r4_h23_hc95,B5_GMe_F090_R1.txt,1
38,3,94.32353016980142,0.18333333333333332,accept,94.32353016980142,HC95,b5_c5_r4_h23_hc95,B5_GMe_F040_R1.txt,1
39,1,80.49624750423662,0.7979166666666666,accept,80.49624750423662,HC95,b5_c5_r4_h23_hc95,B5_GCO_F020_R2.txt,2
40,1,111.25783490095017,0.5958333333333333,accept,111.25783490095017,HC95,b5_c5_r4_h23_hc95,B5_GCO_F040_R2.txt,2
41,3,130.92927874008396,0.21250000000000002,accept,130.92927874008396,HC95,b5_c5_r4_h23_hc95,B5_GMe_F050_R2.txt,2
42,3,233.4088063850043,0.29791666666666666,accept,233.4088063850043,HC95,b5_c5_r4_h23_hc95,B5_GMe_F090_R2.txt,2
43,2,24.94915189774551,0.7020833333333334,accept,24.94915189774551,HC95,b5_c5_r4_h23_hc95,B5_GEy_F020_R1.txt,1
44,0,74.24524425349475,0.40416666666666673,accept,74.24524425349475,HC95,b5_c5_r4_h23_hc95,B5_GEa_F060_R1.txt,1
45,2,36.53975885677585,0.5166666666666667,accept,36.53975885677585,HC95,b5_c5_r4_h23_hc95,B5_GEy_F030_R2.txt,2
46,0,72.92421176085534,0.39375,accept,72.92421176085534,HC95,b5_c5_r4_h23_hc95,B5_GEa_F060_R2.txt,2
47,0,26.500907934466063,0.4895833333333333,accept,26.500907934466063,HC95,b5_c5_r4_h23_hc95,B5_GEa_F020_R1.txt,1
48,3,132.01287864114434,0.22916666666666666,accept,132.01287864114434,HC95,b5_c5_r4_h23_hc95,B5_GMe_F050_R2.txt,2
49,2,80.32349613177544,0.6,accept,80.32349613177544,HC95,b5_c5_r4_h23_hc95,B5_GEy_F060_R1.txt,1
50,3,175.42403437441072,0.5041666666666667,accept,175.42403437441072,HC95,b5_c5_r4_h23_hc95,B5_GMe_F040_R1.txt,1
51,1,250.0,0.84375,review,,HC95,b5_c5_r4_h23_hc95,B5_GEy_F010_R2.txt,2
52,3,87.32954732499522,0.3145833333333333,accept,87.32954732499522,HC95,b5_c5_r4_h23_hc95,B5_GMe_F030_R2.txt,2
53,2,111.12713921738985,0.65,accept,111.12713921738985,HC95,b5_c5_r4_h23_hc95,B5_GEy_F090_R2.txt,2
54,1,227.04608645832286,0.6104166666666667,accept,227.04608645832286,HC95,b5_c5_r4_h23_hc95,B5_GCO_F100_R2.txt,2
55,3,42.155298307292625,0.2125,accept,42.155298307292625,HC95,b5_c5_r4_h23_hc95,B5_GMe_F020_R2.txt,2
56,3,120.45737378320247,0.3333333333333333,accept,120.45737378320247,HC95,b5_c5_r4_h23_hc95,B5_GMe_F050_R2.txt,2
57,1,248.97046178523686,0.5083333333333333,accept,248.97046178523686,HC95,b5_c5_r4_h23_hc95,B5_GCO_F100_R1.txt,1
58,1,250.0,0.75625,accept,250.0,HC95,b5_c5_r4_h23_hc95,B5_GCO_F100_R1.txt,1
59,0,81.96032040833444,0.4875,accept,81.96032040833444,HC95,b5_c5_r4_h23_hc95,B5_GEa_F080_R1.txt,1
60,0,20.86714310778864,0.4375,accept,20.86714310778864,HC95,b5_c5_r4_h23_hc95,B5_GEa_F020_R1.txt,1
61,2,71.79767912697359,0.6729166666666666,accept,71.79767912697359,HC95,b5_c5_r4_h23_hc95,B5_GEy_F060_R1.txt,1
62,0,23.721790889265826,0.4645833333333333,accept,23.721790889265826,HC95,b5_c5_r4_h23_hc95,B5_GEa_F020_R1.txt,1
63,3,214.56686960062402,0.38125000000000003,accept,214.56686960062402,HC95,b5_c5_r4_h23_hc95,B5_GMe_F090_R1.txt,1
64,1,35.66475883816524,0.5875,accept,35.66475883816524,HC95,b5_c5_r4_h23_hc95,B5_GCO_F020_R1.txt,1
65,3,249.59079156471822,0.1875,accept,249.59079156471822,HC95,b5_c5_r4_h23_hc95,B5_GMe_F100_R2.txt,2
66,3,194.92205018643995,0.18333333333333335,accept,194.92205018643995,HC95,b5_c5_r4_h23_hc95,B5_GMe_F080_R2.txt,2
67,1,32.313834945235726,0.5937499999999999,accept,32.313834945235726,HC95,b5_c5_r4_h23_hc95,B5_GCO_F010_R2.txt,2
68,2,114.55423254872392,0.6645833333333333,accept,114.55423254872392,HC95,b5_c5_r4_h23_hc95,B5_GEy_F090_R2.txt,2
69,2,26.11765819614925,0.7999999999999999,review,,HC95,b5_c5_r4_h23_hc95,B5_GEy_F020_R2.txt,2
70,3,131.64808165979306,0.5458333333333333,accept,131.64808165979306,HC95,b5_c5_r4_h23_hc95,B5_GMe_F040_R1.txt,1
71,3,199.47682996602126,0.4979166666666666,accept,199.47682996602126,HC95,b5_c5_r4_h23_hc95,B5_GMe_F090_R1.txt,1
72,2,77.73070820320626,0.5520833333333334,accept,77.73070820320626,HC95,b5_c5_r4_h23_hc95,B5_GEy_F060_R1.txt,1
73,0,68.33071185753522,0.5416666666666666,accept,68.33071185753522,HC95,b5_c5_r4_h23_hc95,B5_GEa_F060_R2.txt,2
74,0,98.85069576157991,0.4583333333333333,accept,98.85069576157991,HC95,b5_c5_r4_h23_hc95,B5_GEa_F080_R2.txt,2
75,1,228.19547653820214,0.6749999999999999,accept,228.19547653820214,HC95,b5_c5_r4_h23_hc95,B5_GCO_F100_R2.txt,2
76,3,206.99343550877225,0.24583333333333332,accept,206.99343550877225,HC95,b5_c5_r4_h23_hc95,B5_GMe_F080_R1.txt,1
77,3,130.48533495966188,0.23958333333333334,accept,130.48533495966188,HC95,b5_c5_r4_h23_hc95,B5_GMe_F050_R1.txt,1
78,3,192.26800242410462,0.31875000000000003,accept,192.26800242410462,HC95,b5_c5_r4_h23_hc95,B5_GMe_F080_R2.txt,2
79,3,150.32699073272263,0.2708333333333333,accept,150.32699073272263,HC95,b5_c5_r4_h23_hc95,B5_GMe_F060_R1.txt,1
80,0,64.0541983649735,0.46458333333333335,accept,64.0541983649735,HC95,b5_c5_r4_h23_hc95,B5_GEa_F050_R2.txt,2
81,0,94.82606543546223,0.5145833333333334,accept,94.82606543546223,HC95,b5_c5_r4_h23_hc95,B5_GEa_F080_R1.txt,1
82,3,25.0,0.29583333333333334,accept,25.0,HC95,b5_c5_r4_h23_hc95,B5_GMe_F010_R1.txt,1
83,1,137.42441729744257,0.5729166666666666,accept,137.42441729744257,HC95,b5_c5_r4_h23_hc95,B5_GCO_F050_R1.txt,1
84,0,80.39671958622388,0.4895833333333333,accept,80.39671958622388,HC95,b5_c5_r4_h23_hc95,B5_GEa_F060_R1.txt,1
85,1,138.18430530312142,0.8166666666666668,review,,HC95,b5_c5_r4_h23_hc95,B5_GCO_F070_R1.txt,1
86,1,112.37923454527866,0.6124999999999999,accept,112.37923454527866,HC95,b5_c5_r4_h23_hc95,B5_GCO_F050_R2.txt,2
87,1,184.92666714341865,0.5354166666666667,accept,184.92666714341865,HC95,b5_c5_r4_h23_hc95,B5_GCO_F080_R2.txt,2
88,2,93.64377370821705,0.6916666666666668,accept,93.64377370821705,HC95,b5_c5_r4_h23_hc95,B5_GEy_F090_R2.txt,2
89,3,152.7440491769197,0.2125,accept,152.7440491769197,HC95,b5_c5_r4_h23_hc95,B5_GMe_F060_R1.txt,1
90,2,99.477716799142,0.6583333333333333,accept,99.477716799142,HC95,b5_c5_r4_h23_hc95,B5_GEy_F080_R1.txt,1
91,3,250.0,0.15,accept,250.0,HC95,b5_c5_r4_h23_hc95,B5_GMe_F100_R2.txt,2
92,1,143.5631386288212,0.5145833333333333,accept,143.5631386288212,HC95,b5_c5_r4_h23_hc95,B5_GCO_F050_R1.txt,1
93,0,62.17315010938665,0.47291666666666665,accept,62.17315010938665,HC95,b5_c5_r4_h23_hc95,B5_GEa_F050_R2.txt,2
94,1,113.13786139980371,0.6666666666666666,accept,113.13786139980371,HC95,b5_c5_r4_h23_hc95,B5_GCO_F050_R2.txt,2
95,1,161.0210560709605,0.75,accept,161.0210560709605,HC95,b5_c5_r4_h23_hc95,B5_GCO_F060_R2.txt,2
96,1,243.02391029595898,0.7270833333333333,accept,243.02391029595898,HC95,b5_c5_r4_h23_hc95,B5_GCO_F100_R1.txt,1
97,3,81.81867683666817,0.21666666666666667,accept,81.81867683666817,HC95,b5_c5_r4_h23_hc95,B5_GMe_F030_R1.txt,1
98,1,115.75173044185847,0.775,accept,115.75173044185847,HC95,b5_c5_r4_h23_hc95,B5_GCO_F030_R2.txt,2
99,1,176.53381486353726,0.5895833333333332,accept,176.53381486353726,HC95,b5_c5_r4_h23_hc95,B5_GCO_F070_R2.txt,2
100,3,221.74385451493896,0.2875,accept,221.74385451493896,HC95,b5_c5_r4_h23_hc95,B5_GMe_F100_R1.txt,1
101,3,250.0,0.5312500000000001,accept,250.0,HC95,b5_c5_r4_h23_hc95,B5_GMe_F100_R2.txt,2
102,3,77.67556053606346,0.26875,accept,77.67556053606346,HC95,b5_c5_r4_h23_hc95,B5_GMe_F030_R2.txt,2
103,1,163.85114587443226,0.7770833333333332,accept,163.85114587443226,HC95,b5_c5_r4_h23_hc95,B5_GCO_F070_R1.txt,1
104,2,12.5,0.6875,accept,12.5,HC95,b5_c5_r4_h23_hc95,B5_GEy_F010_R2.txt,2
105,2,24.250321753251527,0.7083333333333334,accept,24.250321753251527,HC95,b5_c5_r4_h23_hc95,B5_GEy_F020_R1.txt,1
106,3,42.664488723781346,0.20208333333333336,accept,42.664488723781346,HC95,b5_c5_r4_h23_hc95,B5_GMe_F020_R1.txt,1
107,3,33.06970878468425,0.4395833333333334,accept,33.06970878468425,HC95,b5_c5_r4_h23_hc95,B5_GMe_F020_R1.txt,1
108,3,247.2542147362505,0.16666666666666666,accept,247.2542147362505,HC95,b5_c5_r4_h23_hc95,B5_GMe_F100_R1.txt,1
109,3,172.45793122544737,0.21666666666666667,accept,172.45793122544737,HC95,b5_c5_r4_h23_hc95,B5_GMe_F070_R1.txt,1
110,0,43.71486410323619,0.6520833333333332,accept,43.71486410323619,HC95,b5_c5_r4_h23_hc95,B5_GEa_F020_R1.txt,1
111,3,244.75254037130907,0.23124999999999998,accept,244.75254037130907,HC95,b5_c5_r4_h23_hc95,B5_GMe_F100_R1.txt,1
112,0,46.71390899948397,0.5020833333333333,accept,46.71390899948397,HC95,b5_c5_r4_h23_hc95,B5_GEa_F040_R1.txt,1
113,3,228.59983042693037,0.21458333333333332,accept,228.59983042693037,HC95,b5_c5_r4_h23_hc95,B5_GMe_F090_R2.txt,2
114,0,43.37571162368877,0.49791666666666673,accept,43.37571162368877,HC95,b5_c5_r4_h23_hc95,B5_GEa_F030_R2.txt,2
115,2,25.881955426474804,0.75,accept,25.881955426474804,HC95,b5_c5_r4_h23_hc95,B5_GEy_F020_R2.txt,2
116,1,250.0,0.84375,review,,HC95,b5_c5_r4_h23_hc95,B5_GEy_F010_R2.txt,2
117,3,205.8954230950182,0.33125,accept,205.8954230950182,HC95,b5_c5_r4_h23_hc95,B5_GMe_F080_R1.txt,1
118,0,92.21010267471968,0.41458333333333336,accept,92.21010267471968,HC95,b5_c5_r4_h23_hc95,B5_GEa_F070_R2.txt,2
119,2,25.908832887582975,0.7041666666666666,accept,25.908832887582975,HC95,b5_c5_r4_h23_hc95,B5_GEy_F020_R2.txt,2
120,2,125.0,0.7875,accept,125.0,HC95,b5_c5_r4_h23_hc95,B5_GEa_F030_R2.txt,2
121,1,161.60663969742671,0.55625,accept,161.60663969742671,HC95,b5_c5_r4_h23_hc95,B5_GCO_F060_R1.txt,1
122,0,13.498259353496131,0.425,accept,13.498259353496131,HC95,b5_c5_r4_h23_hc95,B5_GEa_F010_R2.txt,2
123,0,95.60492023509015,0.5354166666666667,accept,95.60492023509015,HC95,b5_c5_r4_h23_hc95,B5_GEa_F080_R1.txt,1
124,2,66.68256468808637,0.7229166666666668,accept,66.68256468808637,HC95,b5_c5_r4_h23_hc95,B5_GEy_F050_R1.txt,1
125,3,75.3791050751599,0.13541666666666666,accept,75.3791050751599,HC95,b5_c5_r4_h23_hc95,B5_GMe_F030_R2.txt,2
126,0,106.53514136579867,0.5083333333333333,accept,106.53514136579867,HC95,b5_c5_r4_h23_hc95,B5_GEa_F090_R2.txt,2
127,2,28.25306809181913,0.7625000000000001,accept,28.25306809181913,HC95,b5_c5_r4_h23_hc95,B5_GEy_F020_R2.txt,2
128,2,16.40548929037874,0.74375,accept,16.40548929037874,HC95,b5_c5_r4_h23_hc95,B5_GEy_F010_R2.txt,2
129,2,72.48605101482686,0.7104166666666667,accept,72.48605101482686,HC95,b5_c5_r4_h23_hc95,B5_GEy_F050_R1.txt,1
130,1,221.64820676333593,0.6041666666666666,accept,221.64820676333593,HC95,b5_c5_r4_h23_hc95,B5_GCO_F100_R2.txt,2
131,3,179.43092182907853,0.29791666666666666,accept,179.43092182907853,HC95,b5_c5_r4_h23_hc95,B5_GMe_F070_R1.txt,1
132,0,51.836473563990694,0.4270833333333333,accept,51.836473563990694,HC95,b5_c5_r4_h23_hc95,B5_GEa_F040_R2.txt,2
133,0,39.49631097663692,0.3958333333333333,accept,39.49631097663692,HC95,b5_c5_r4_h23_hc95,B5_GEa_F030_R2.txt,2
134,0,118.80631449814419,0.6729166666666666,accept,118.80631449814419,HC95,b5_c5_r4_h23_hc95,B5_GEa_F100_R1.txt,1
135,2,96.20318897313288,0.63125,accept,96.20318897313288,HC95,b5_c5_r4_h23_hc95,B5_GEy_F080_R2.txt,2
136,1,162.01404874946317,0.6708333333333334,accept,162.01404874946317,HC95,b5_c5_r4_h23_hc95,B5_GCO_F060_R2.txt,2
137,0,125.0,0.4229166666666666,accept,125.0,HC95,b5_c5_r4_h23_hc95,B5_GEa_F100_R1.txt,1
138,2,44.003630610508225,0.7062499999999999,accept,44.003630610508225,HC95,b5_c5_r4_h23_hc95,B5_GEy_F040_R2.txt,2
139,2,105.29687716642178,0.65,accept,105.29687716642178,HC95,b5_c5_r4_h23_hc95,B5_GEy_F080_R1.txt,1
140,0,93.1703153897405,0.4583333333333333,accept,93.1703153897405,HC95,b5_c5_r4_h23_hc95,B5_GEa_F070_R2.txt,2
141,1,85.76786148425332,0.5187499999999999,accept,85.76786148425332,HC95,b5_c5_r4_h23_hc95,B5_GCO_F040_R2.txt,2
142,3,42.85936991798967,0.23750000000000002,accept,42.85936991798967,HC95,b5_c5_r4_h23_hc95,B5_GMe_F020_R1.txt,1
143,1,165.396541634083,0.5395833333333333,accept,165.396541634083,HC95,b5_c5_r4_h23_hc95,B5_GCO_F070_R2.txt,2
144,3,163.32831967608138,0.5333333333333333,accept,163.32831967608138,HC95,b5_c5_r4_h23_hc95,B5_GMe_F060_R1.txt,1
145,1,136.07190764504975,0.6708333333333333,accept,136.07190764504975,HC95,b5_c5_r4_h23_hc95,B5_GCO_F070_R1.txt,1
146,0,78.53431033523844,0.4104166666666667,accept,78.53431033523844,HC95,b5_c5_r4_h23_hc95,B5_GEa_F060_R1.txt,1
147,0,125.0,0.5041666666666667,accept,125.0,HC95,b5_c5_r4_h23_hc95,B5_GEa_F100_R1.txt,1
148,3,102.10633955471911,0.12708333333333333,accept,102.10633955471911,HC95,b5_c5_r4_h23_hc95,B5_GMe_F040_R2.txt,2
149,2,61.94678902324186,0.6104166666666666,accept,61.94678902324186,HC95,b5_c5_r4_h23_hc95,B5_GEy_F050_R1.txt,1
150,0,90.99192839349386,0.5041666666666668,accept,90.99192839349386,HC95,b5_c5_r4_h23_hc95,B5_GEa_F070_R2.txt,2
151,3,194.54864447963155,0.22291666666666668,accept,194.54864447963155,HC95,b5_c5_r4_h23_hc95,B5_GMe_F080_R2.txt,2
152,2,39.91359189339991,0.63125,accept,39.91359189339991,HC95,b5_c5_r4_h23_hc95,B5_GEy_F030_R2.txt,2
153,1,52.05866065889169,0.8645833333333334,review,,HC95,b5_c5_r4_h23_hc95,B5_GCO_F020_R1.txt,1
154,3,150.50382747048513,0.1875,accept,150.50382747048513,HC95,b5_c5_r4_h23_hc95,B5_GMe_F060_R1.txt,1
155,3,240.99308597596627,0.20625000000000002,accept,240.99308597596627,HC95,b5_c5_r4_h23_hc95,B5_GMe_F100_R1.txt,1
156,0,112.48775278296492,0.4875,accept,112.48775278296492,HC95,b5_c5_r4_h23_hc95,B5_GEa_F090_R1.txt,1
157,3,71.15732588386217,0.3,accept,71.15732588386217,HC95,b5_c5_r4_h23_hc95,B5_GMe_F030_R1.txt,1
158,0,50.11925342142361,0.5020833333333333,accept,50.11925342142361,HC95,b5_c5_r4_h23_hc95,B5_GEa_F030_R1.txt,1
159,1,117.75596442177674,0.6458333333333334,accept,117.75596442177674,HC95,b5_c5_r4_h23_hc95,B5_GCO_F050_R1.txt,1
160,3,241.38812744104848,0.25,accept,241.38812744104848,HC95,b5_c5_r4_h23_hc95,B5_GMe_F100_R2.txt,2
161,2,12.5,0.8291666666666666,review,,HC95,b5_c5_r4_h23_hc95,B5_GEy_F010_R1.txt,1
162,1,141.5965484848615,0.6083333333333333,accept,141.5965484848615,HC95,b5_c5_r4_h23_hc95,B5_GCO_F050_R1.txt,1
163,0,17.25447768583068,0.5354166666666665,accept,17.25447768583068,HC95,b5_c5_r4_h23_hc95,B5_GEa_F010_R2.txt,2
164,3,95.26194814813186,0.2520833333333333,accept,95.26194814813186,HC95,b5_c5_r4_h23_hc95,B5_GMe_F040_R1.txt,1
165,2,51.572061025991715,0.6354166666666666,accept,51.572061025991715,HC95,b5_c5_r4_h23_hc95,B5_GEy_F040_R1.txt,1
166,2,111.95351892217477,0.7041666666666666,accept,111.95351892217477,HC95,b5_c5_r4_h23_hc95,B5_GEy_F100_R1.txt,1
167,2,120.08604751714793,0.6458333333333334,accept,120.08604751714793,HC95,b5_c5_r4_h23_hc95,B5_GEy_F100_R2.txt,2
168,3,50.79760133556884,0.10208333333333335,accept,50.79760133556884,HC95,b5_c5_r4_h23_hc95,B5_GMe_F020_R2.txt,2
169,0,111.61757329052281,0.61875,accept,111.61757329052281,HC95,b5_c5_r4_h23_hc95,B5_GEa_F090_R2.txt,2
170,0,46.57297116227555,0.4979166666666666,accept,46.57297116227555,HC95,b5_c5_r4_h23_hc95,B5_GEa_F040_R1.txt,1
171,2,65.16502817861581,0.6062500000000001,accept,65.16502817861581,HC95,b5_c5_r4_h23_hc95,B5_GEy_F050_R1.txt,1
172,3,80.7163923277867,0.18125,accept,80.7163923277867,HC95,b5_c5_r4_h23_hc95,B5_GMe_F030_R1.txt,1
173,1,206.59818853894654,0.7000000000000001,accept,206.59818853894654,HC95,b5_c5_r4_h23_hc95,B5_GCO_F090_R2.txt,2
174,2,108.25395546511012,0.6104166666666666,accept,108.25395546511012,HC95,b5_c5_r4_h23_hc95,B5_GEy_F090_R2.txt,2
175,1,139.16671881715286,0.74375,accept,139.16671881715286,HC95,b5_c5_r4_h23_hc95,B5_GCO_F050_R1.txt,1
176,1,156.97562858758997,0.6625,accept,156.97562858758997,HC95,b5_c5_r4_h23_hc95,B5_GCO_F070_R2.txt,2
177,2,67.23216664679825,0.6625,accept,67.23216664679825,HC95,b5_c5_r4_h23_hc95,B5_GEy_F060_R2.txt,2
178,1,126.39988479480539,0.55625,accept,126.39988479480539,HC95,b5_c5_r4_h23_hc95,B5_GCO_F050_R2.txt,2
179,2,59.13533532273052,0.6708333333333334,accept,59.13533532273052,HC95,b5_c5_r4_h23_hc95,B5_GEy_F050_R1.txt,1
180,3,196.59090074312917,0.24375,accept,196.59090074312917,HC95,b5_c5_r4_h23_hc95,B5_GMe_F080_R2.txt,2
181,3,110.14111240059427,0.4958333333333333,accept,110.14111240059427,HC95,b5_c5_r4_h23_hc95,B5_GMe_F050_R1.txt,1
182,2,12.5,0.6145833333333334,accept,12.5,HC95,b5_c5_r4_h23_hc95,B5_GEy_F010_R1.txt,1
183,2,113.91432776142304,0.7291666666666666,accept,113.91432776142304,HC95,b5_c5_r4_h23_hc95,B5_GEy_F100_R1.txt,1
184,1,105.89578423393783,0.56875,accept,105.89578423393783,HC95,b5_c5_r4_h23_hc95,B5_GCO_F040_R2.txt,2
185,2,46.94145230280441,0.7062499999999999,accept,46.94145230280441,HC95,b5_c5_r4_h23_hc95,B5_GEy_F040_R1.txt,1
186,0,14.025282963732112,0.47291666666666665,accept,14.025282963732112,HC95,b5_c5_r4_h23_hc95,B5_GEa_F010_R2.txt,2
187,2,95.94124661131261,0.7312499999999998,accept,95.94124661131261,HC95,b5_c5_r4_h23_hc95,B5_GEy_F070_R2.txt,2
188,3,74.66693939817493,0.11458333333333333,accept,74.66693939817493,HC95,b5_c5_r4_h23_hc95,B5_GMe_F030_R1.txt,1
189,3,159.6176534968514,0.38958333333333334,accept,159.6176534968514,HC95,b5_c5_r4_h23_hc95,B5_GMe_F060_R2.txt,2
190,1,178.5101545239023,0.7708333333333334,accept,178.5101545239023,HC95,b5_c5_r4_h23_hc95,B5_GCO_F080_R2.txt,2
191,0,19.345861100571806,0.6229166666666667,accept,19.345861100571806,HC95,b5_c5_r4_h23_hc95,B5_GEa_F010_R2.txt,2
192,2,49.85287884625001,0.6791666666666667,accept,49.85287884625001,HC95,b5_c5_r4_h23_hc95,B5_GEy_F040_R2.txt,2
193,2,50.02250752310019,0.5729166666666666,accept,50.02250752310019,HC95,b5_c5_r4_h23_hc95,B5_GEy_F040_R2.txt,2
194,3,176.47398493150524,0.5499999999999999,accept,176.47398493150524,HC95,b5_c5_r4_h23_hc95,B5_GMe_F080_R1.txt,1
195,0,20.54307584790714,0.4583333333333333,accept,20.54307584790714,HC95,b5_c5_r4_h23_hc95,B5_GEa_F020_R2.txt,2
196,3,123.36238392813377,0.22083333333333335,accept,123.36238392813377,HC95,b5_c5_r4_h23_hc95,B5_GMe_F050_R1.txt,1
197,2,36.637763276016244,0.6833333333333332,accept,36.637763276016244,HC95,b5_c5_r4_h23_hc95,B5_GEy_F040_R2.txt,2
198,0,124.74533213778442,0.39999999999999997,accept,124.74533213778442,HC95,b5_c5_r4_h23_hc95,B5_GEa_F100_R2.txt,2
199,3,198.81391966783286,0.14583333333333334,accept,198.81391966783286,HC95,b5_c5_r4_h23_hc95,B5_GMe_F080_R2.txt,2
200,2,27.2554054424115,0.6687499999999998,accept,27.2554054424115,HC95,b5_c5_r4_h23_hc95,B5_GEy_F030_R2.txt,2
201,3,28.842451179060347,0.20625000000000002,accept,28.842451179060347,HC95,b5_c5_r4_h23_hc95,B5_GMe_F010_R2.txt,2
202,0,125.0,0.4354166666666666,accept,125.0,HC95,b5_c5_r4_h23_hc95,B5_GEa_F100_R1.txt,1
